gene	gene	p-value	odds
GTF2IRD2B	FKBP9	1	0
GTF2IRD2B	APOB	0.330882352941177	5.50761894334377
GTF2IRD2B	VPS13A	0.330882352941177	5.50761894334377
GTF2IRD2B	CSMD2	1	0
GTF2IRD2B	SMC6	1	0
GTF2IRD2B	CTNNB1	0.464705882352941	2.76736280165399
GTF2IRD2B	COL11A1	1	0
GTF2IRD2B	SPTA1	1	0
GTF2IRD2B	ALB	1	0
GTF2IRD2B	PCLO	1	1.76213557983654
GTF2IRD2B	DYNC2H1	1	0
GTF2IRD2B	PCDH7	1	0
GTF2IRD2B	LRP1B	1	0
GTF2IRD2B	PNRC2	1	0
GTF2IRD2B	CSMD3	0.330882352941177	5.50761894334377
GTF2IRD2B	RB1	0.176470588235294	Inf
FKBP9	APOB	1	0
FKBP9	VPS13A	1	0
FKBP9	CSMD2	1	0
FKBP9	SMC6	1	0
FKBP9	CTNNB1	1	0
FKBP9	COL11A1	1	0
FKBP9	SPTA1	1	0
FKBP9	ALB	1	0
FKBP9	PCLO	1	0
FKBP9	DYNC2H1	1	0
FKBP9	PCDH7	1	0
FKBP9	LRP1B	1	0
FKBP9	PNRC2	1	0
FKBP9	CSMD3	1	0
FKBP9	RB1	1	0
APOB	VPS13A	0.227941176470588	10.2470193201313
APOB	CSMD2	1	0
APOB	SMC6	1	0
APOB	CTNNB1	1	0
APOB	COL11A1	1	0
APOB	SPTA1	0.330882352941176	5.50761894334377
APOB	ALB	0.117647058823529	Inf
APOB	PCLO	0.426470588235294	3.60580191404821
APOB	DYNC2H1	0.117647058823529	Inf
APOB	PCDH7	1	0
APOB	LRP1B	1	0
APOB	PNRC2	1	0
APOB	CSMD3	1	0
APOB	RB1	1	0
VPS13A	CSMD2	1	0
VPS13A	SMC6	1	0
VPS13A	CTNNB1	0.330882352941176	5.50761894334377
VPS13A	COL11A1	1	0
VPS13A	SPTA1	1	0
VPS13A	ALB	1	0
VPS13A	PCLO	0.426470588235294	3.60580191404821
VPS13A	DYNC2H1	1	0
VPS13A	PCDH7	1	0
VPS13A	LRP1B	1	0
VPS13A	PNRC2	1	0
VPS13A	CSMD3	1	0
VPS13A	RB1	1	0
CSMD2	SMC6	1	0
CSMD2	CTNNB1	1	0
CSMD2	COL11A1	1	0
CSMD2	SPTA1	0.330882352941176	5.50761894334377
CSMD2	ALB	1	0
CSMD2	PCLO	1	0
CSMD2	DYNC2H1	1	0
CSMD2	PCDH7	1	0
CSMD2	LRP1B	1	0
CSMD2	PNRC2	1	0
CSMD2	CSMD3	1	0
CSMD2	RB1	1	0
SMC6	CTNNB1	0.330882352941176	5.50761894334377
SMC6	COL11A1	1	0
SMC6	SPTA1	1	0
SMC6	ALB	1	0
SMC6	PCLO	1	0
SMC6	DYNC2H1	1	0
SMC6	PCDH7	0.227941176470588	10.2470193201313
SMC6	LRP1B	1	0
SMC6	PNRC2	0.227941176470588	10.2470193201313
SMC6	CSMD3	0.227941176470588	10.2470193201313
SMC6	RB1	1	0
CTNNB1	COL11A1	1	0
CTNNB1	SPTA1	1	0
CTNNB1	ALB	1	0
CTNNB1	PCLO	0.120588235294118	9.63531857053945
CTNNB1	DYNC2H1	1	0
CTNNB1	PCDH7	1	0
CTNNB1	LRP1B	1	0
CTNNB1	PNRC2	1	0
CTNNB1	CSMD3	0.330882352941177	5.50761894334377
CTNNB1	RB1	0.176470588235294	Inf
COL11A1	SPTA1	1	0
COL11A1	ALB	1	0
COL11A1	PCLO	1	0
COL11A1	DYNC2H1	1	0
COL11A1	PCDH7	1	0
COL11A1	LRP1B	1	0
COL11A1	PNRC2	1	0
COL11A1	CSMD3	1	0
COL11A1	RB1	1	0
SPTA1	ALB	0.176470588235294	Inf
SPTA1	PCLO	1	1.76213557983654
SPTA1	DYNC2H1	0.176470588235294	Inf
SPTA1	PCDH7	0.330882352941177	5.50761894334377
SPTA1	LRP1B	1	0
SPTA1	PNRC2	1	0
SPTA1	CSMD3	1	0
SPTA1	RB1	1	0
ALB	PCLO	0.235294117647059	Inf
ALB	DYNC2H1	0.0588235294117647	Inf
ALB	PCDH7	1	0
ALB	LRP1B	1	0
ALB	PNRC2	1	0
ALB	CSMD3	1	0
ALB	RB1	1	0
PCLO	DYNC2H1	0.235294117647059	Inf
PCLO	PCDH7	1	0
PCLO	LRP1B	1	0
PCLO	PNRC2	0.426470588235294	3.6058019140482
PCLO	CSMD3	0.426470588235294	3.6058019140482
PCLO	RB1	0.235294117647059	Inf
DYNC2H1	PCDH7	1	0
DYNC2H1	LRP1B	1	0
DYNC2H1	PNRC2	1	0
DYNC2H1	CSMD3	1	0
DYNC2H1	RB1	1	0
PCDH7	LRP1B	1	0
PCDH7	PNRC2	0.227941176470588	10.2470193201313
PCDH7	CSMD3	0.227941176470588	10.2470193201313
PCDH7	RB1	1	0
LRP1B	PNRC2	1	0
LRP1B	CSMD3	1	0
LRP1B	RB1	1	0
PNRC2	CSMD3	0.227941176470588	10.2470193201313
PNRC2	RB1	1	0
CSMD3	RB1	0.117647058823529	Inf
