gene	gene	p-value	odds
CTNNB1	ALB	0.0623323013415892	7.32076509020917
CTNNB1	APOB	1	1
CTNNB1	RB1	0.147368421052632	Inf
CTNNB1	TP53	1	0.847336296224644
CTNNB1	AK2	0.536842105263158	3.42393646735491
CTNNB1	COL11A1	1	0.72606854676108
CTNNB1	SPTA1	0.4	Inf
CTNNB1	FKBP9	0.147368421052632	Inf
CTNNB1	CSMD3	0.116615067079463	0
CTNNB1	SMC6	0.494736842105263	0
CTNNB1	PCDH7	1	0.72606854676108
CTNNB1	GTF2IRD2B	0.494736842105263	0
CTNNB1	PCLO	0.494736842105263	0
CTNNB1	PNRC2	0.494736842105263	0
CTNNB1	DYNC2H1	0.494736842105263	0
CTNNB1	CSMD2	0.4	Inf
CTNNB1	VPS13A	1	0
ALB	APOB	1	1.31381569480687
ALB	RB1	0.110526315789474	Inf
ALB	TP53	0.356346749226006	2.82846932305825
ALB	AK2	0.521052631578947	0
ALB	COL11A1	0.521052631578947	0
ALB	SPTA1	1	0
ALB	FKBP9	0.521052631578947	0
ALB	CSMD3	1	0.571131133100315
ALB	SMC6	0.521052631578947	0
ALB	PCDH7	1	0.920612484203782
ALB	GTF2IRD2B	0.521052631578947	0
ALB	PCLO	0.521052631578947	0
ALB	PNRC2	0.521052631578947	0
ALB	DYNC2H1	0.521052631578947	0
ALB	CSMD2	0.35	Inf
ALB	VPS13A	1	0
APOB	RB1	0.447368421052632	3.24033723586906
APOB	TP53	1	1
APOB	AK2	1	1.5826479398861
APOB	COL11A1	0.539473684210526	0
APOB	SPTA1	1	0
APOB	FKBP9	1	0
APOB	CSMD3	1	1
APOB	SMC6	1	0
APOB	PCDH7	0.140350877192982	7.99277687630302
APOB	GTF2IRD2B	0.447368421052632	3.24033723586906
APOB	PCLO	0.447368421052632	3.24033723586906
APOB	PNRC2	0.0526315789473684	Inf
APOB	DYNC2H1	0.0526315789473684	Inf
APOB	CSMD2	1	0
APOB	VPS13A	1	0
RB1	TP53	1	1.53525206077313
RB1	AK2	1	0
RB1	COL11A1	1	0
RB1	SPTA1	1	0
RB1	FKBP9	1	0
RB1	CSMD3	1	0
RB1	SMC6	1	0
RB1	PCDH7	1	0
RB1	GTF2IRD2B	1	0
RB1	PCLO	1	0
RB1	PNRC2	1	0
RB1	DYNC2H1	1	0
RB1	CSMD2	0.1	Inf
RB1	VPS13A	1	0
TP53	AK2	0.536842105263158	3.42393646735491
TP53	COL11A1	0.536842105263158	3.42393646735491
TP53	SPTA1	0.4	Inf
