Ensembl|Hugo	Ensembl	Hugo	FC_T_NT	ttest_T_NT_pval	ttest_T_NT_pval_adj
ENSG00000000003.14|TSPAN6	ENSG00000000003.14	TSPAN6	0.986345844401378	0.271718376482794	0.352097364883479
ENSG00000000005.5|TNMD	ENSG00000000005.5	TNMD	0.819320906273198	0.0143955217586453	0.028516160854384
ENSG00000000419.12|DPM1	ENSG00000000419.12	DPM1	1.25804173353647	0.00379914250436108	0.008924100761239
ENSG00000000457.13|SCYL3	ENSG00000000457.13	SCYL3	1.04419027698349	0.362646428564851	0.447155951429516
ENSG00000000460.16|C1orf112	ENSG00000000460.16	C1orf112	1.68857604953712	6.84692440773586e-08	5.79474932446055e-07
ENSG00000000938.12|FGR	ENSG00000000938.12	FGR	0.507750184749902	0.000145674202502954	0.000505637239632556
ENSG00000000971.15|CFH	ENSG00000000971.15	CFH	0.907950914584076	0.00942677778732742	0.0197078663066484
ENSG00000001036.13|FUCA2	ENSG00000001036.13	FUCA2	1.75730008820798	3.35119429535807e-07	2.34803081267475e-06
ENSG00000001084.10|GCLC	ENSG00000001084.10	GCLC	0.816039784886939	0.000381536153572128	0.00118182308011113
ENSG00000001167.14|NFYA	ENSG00000001167.14	NFYA	1.36233088075199	2.81504867498478e-10	4.53507653362019e-09
ENSG00000001460.17|STPG1	ENSG00000001460.17	STPG1	1.53290810942062	9.69627031730267e-09	1.0321583272467e-07
ENSG00000001461.16|NIPAL3	ENSG00000001461.16	NIPAL3	1.27575893435695	2.46909266207887e-05	0.000105362924388182
ENSG00000001497.16|LAS1L	ENSG00000001497.16	LAS1L	1.19952533619831	1.31626006385901e-05	6.03951843266981e-05
ENSG00000001561.6|ENPP4	ENSG00000001561.6	ENPP4	1.51273049606442	3.60024495535839e-07	2.49900214520963e-06
ENSG00000001617.11|SEMA3F	ENSG00000001617.11	SEMA3F	2.17386585606857	5.31807833732663e-15	3.42216341729398e-13
ENSG00000001626.14|CFTR	ENSG00000001626.14	CFTR	0.0354588985469072	2.62630101288737e-16	2.68384444403541e-14
ENSG00000001629.9|ANKIB1	ENSG00000001629.9	ANKIB1	1.45975155171225	6.78878152619804e-11	1.29043390765055e-09
ENSG00000001630.15|CYP51A1	ENSG00000001630.15	CYP51A1	1.57559630975933	0.00278661125621545	0.0068067677306657
